id,latitude,longitude,propertyType,priceChangePercentTotal,energyClass,price,rooms,size,lotSize,floor,buildYear,city,zipCode,street,squaremeterPrice,basementSize
1825947,55.70476,12.52698,3,0,D,4498000,3,84,0,5,1932,København NV,2400,"Provstevej 2B, 5.",53547,0
1825653,55.6741,12.59094,3,0,-,4750000,2,78,0,,1790,København K,1416,"Sankt Annæ Gade 4A, st..",60897,0
1825657,55.66098,12.58752,3,0,B,5695000,3,118,0,,2006,København S,2300,"Tom Kristensens Vej 26, st.. th.",48262,0
1825856,55.67915,12.59957,3,0,J,5900000,2,56,0,5,2024,København K,1436,"Trangravsvej 29, 5. 4., Christiansholm",105357,0
1825954,55.67951,12.5992,3,0,J,5900000,2,56,0,3,2023,København K,1436,"Trangravsvej 37, 3. 2., Operatårnet - B1.03.04",105357,0
1825540,55.66758,12.58079,3,0,B,6495000,4,112,0,4,2006,København S,2300,"Klaksvigsgade 8, 4. th.",57991,0
1825687,55.7081,12.58454,3,0,C,6695000,3,102,0,4,1915,København Ø,2100,"Vordingborggade 37, 4 tv",65637,0
1825590,55.68087,12.53486,3,0,d,6995000,3,109,0,,1882,Frederiksberg C,1860,"Christian Winthers Vej 3A, st.",64174,0
1825669,55.67459,12.55335,3,0,D,6995000,4,115,1022,,1905,Frederiksberg C,1908,"Prinsesse Maries Alle 5, st.. tv.",60826,0
1825858,55.67941,12.59743,3,0,J,7900000,3,87,0,2,2023,København K,1436,"Trangravsvej 53, 2. 4., Christiansholm",90804,0
1825860,55.67941,12.59743,3,0,J,7900000,2,78,0,7,2023,København K,1436,"Trangravsvej 53, 7. 3., Christiansholm",101282,0
1825955,55.67941,12.59743,3,0,J,8000000,2,78,0,7,2023,København K,1436,"Trangravsvej 53, 7. 4., Skuespiltårnet - F2.07.02",102564,0
1825836,55.67915,12.59957,3,0,J,8300000,3,87,0,3,2024,København K,1436,"Trangravsvej 29, 3. 2., Christiansholm",95402,0
1825855,55.67915,12.59957,3,0,J,8500000,2,71,0,8,2024,København K,1436,"Trangravsvej 29, 8. 2., Christiansholm",119718,0
1825956,55.67941,12.59743,3,0,J,8500000,2,85,0,6,2023,København K,1436,"Trangravsvej 53, 6. 3., Skuespiltårnet - F2.06.01",100000,0
1825859,55.67941,12.59743,3,0,J,8600000,2,85,0,6,2023,København K,1436,"Trangravsvej 53, 6. 4., Christiansholm",101176,0
1825646,55.67951,12.5992,3,0,J,8900000,2,85,0,6,2023,København K,1436,"Trangravsvej 37, 6. 4., Operatårnet - B1.06.02",104705,0
1825647,55.67941,12.59743,3,0,J,8900000,3,99,0,2,2023,København K,1436,"Trangravsvej 53, 2. 5., Skuespiltårnet - F2.02.02",89898,0
1825835,55.67951,12.5992,3,0,J,9500000,2,85,0,6,2023,København K,1436,"Trangravsvej 37, 6. 3., Christiansholm",111764,0
1825518,55.6877,12.52028,9,0,E,9800000,5,140,1491,,1891,Frederiksberg,2000,"Tesdorpfsvej 24, st.",70000,65
1825589,55.68111,12.54997,3,0,d,10200000,4,143,0,3,1897,Frederiksberg C,1923,"Johnstrups Alle 4, 3. tv",71328,0
1825699,55.59322,12.67113,1,0,D,10995000,6,208,220,,1856,Dragør,2791,Strandgade 3,52860,0
1825681,55.68495,12.58805,3,0,C,11500000,5,187,0,1,1908,København K,1264,"Store Kongensgade 69, 1. th.",61497,0
1825654,55.68412,12.58775,3,0,D,11998000,5,218,0,2,1750,København K,1264,"Store Kongensgade 66, 2. tv.",55036,0
1825649,55.67915,12.59957,3,0,J,12500000,4,104,0,8,2024,København K,1436,"Trangravsvej 29, 8. 4., Kongeporttårnet - C1.08.02",120192,0
1825834,55.67951,12.5992,3,0,J,13300000,3,132,0,4,2023,København K,1436,"Trangravsvej 37, 4. 1., Christiansholm",100757,0
1825650,55.67915,12.59957,3,0,J,19000000,3,147,0,9,2024,København K,1436,"Trangravsvej 29, 9. th., Kongeporttårnet - C1.09.01",129251,0
1825651,55.67884,12.59749,3,0,J,20000000,4,157,0,6,2023,København K,1436,"Trangravsvej 61, 6. tv., Papirhuset - E1.06.03",127388,0
1825857,55.67891,12.59724,3,0,J,20000000,4,164,0,6,2023,København K,1436,"Trangravsvej 59, 6. th., Christiansholm",121951,0
1825652,55.67951,12.5992,3,0,J,30000000,5,216,0,10,2023,København K,1436,"Trangravsvej 37, 10. th., Operatårnet - B1.10.01",138888,0
1825854,55.67915,12.59957,3,0,J,32000000,5,217,0,10,2024,København K,1436,"Trangravsvej 29, 10. tv., Christiansholm",147465,0
1825278,55.61018,12.58474,4,0,-,995000,3,35,428,,1957,Kastrup,2770,Hf. Kongevang 4,28428,0
1825179,55.65071,12.61403,3,0,d,1795000,1,45,0,1,1940,København S,2300,"Rodosvej 7E, 1. tv",39888,0
1825407,55.7166,12.46007,3,0,D,2145000,3,71,0,1,1954,Brønshøj,2700,"Frederikssundsvej 414, 1. tv.",30211,0
1825123,55.69587,12.53528,5,0,D,2334570,3,109,0,,1900,Frederiksberg,2000,"Nordre Fasanvej 182A, st.",0,0
1825257,55.66059,12.62122,3,0,D,2395000,2,52,0,1,1937,København S,2300,"Messinavej 7, 1. tv.",46057,0
1825399,55.63648,12.61839,3,0,E,2395000,4,62,0,2,1952,Kastrup,2770,"Amager Landevej 44C, 2. tv.",38629,0
1825488,55.68762,12.56187,5,0,C,2498000,4,141,0,4,1865,København N,2200,"Nørrebrogade 12, 4 th",0,0
1825285,55.6943,12.53137,3,0,C,2850000,2,62,0,3,1990,Frederiksberg,2000,"Borups Alle 132, 3. Dør/lejl. 3",45967,0
1825448,55.67622,12.54541,5,0,D,2995000,2,75,907,3,1968,Frederiksberg C,1879,H.C. Ørsteds Vej 3B  3. th.,0,0
1825249,55.71285,12.4656,9,0,C,3095000,4,89,0,1,1940,Brønshøj,2700,"Boserupvej 9, 1.",34775,100
1825406,55.70571,12.54933,3,0,C,3198000,2,71,0,1,1991,København N,2200,"Sigynsgade 36, 1. tv.",45042,0
1825130,55.66539,12.55716,3,0,C,3295000,2,61,0,,1908,København V,1721,"Dybbølsgade 11, st. tv.",54016,0
1825177,55.66658,12.60179,3,0,c,3395000,2,62,0,5,1932,København S,2300,"Ved Sønderport 18, 5. tv",54758,0
1825254,55.67269,12.50231,3,0,D,3595000,3,86,0,1,1953,Frederiksberg,2000,"Camilla Nielsens Vej 3, 1. tv.",41802,0
1824760,55.66425,12.51712,5,0,G,3771928,3,127,0,,1906,Valby,2500,"Gammel Jernbanevej 41, st.",0,10
1825255,55.70133,12.58634,3,0,D,3795000,3,52,0,,1938,København Ø,2100,"Rosenvængets Hovedvej 30, st.. 1.",72980,0
1825256,55.69521,12.57151,3,0,B,5495000,3,82,0,,2004,København Ø,2100,"Ryesgade 75, st.. tv.",67012,0
1825486,55.6672,12.53177,3,0,J,5695000,4,89,0,2,2020,København V,1799,"Ottilia Jacobsens Plads 11, 2 tv",63988,0
1825125,55.67691,12.54155,3,0,C,6195000,3,92,0,1,1861,Frederiksberg C,1870,"Bülowsvej 1, 1. tv.",67336,0
1825252,55.71942,12.53702,9,0,D,6995000,5,132,0,1,1925,København NV,2400,"Pernillevej 23, 1.",52992,0
1825253,55.66999,12.49867,3,0,C,7295000,4,140,0,2,1976,Frederiksberg,2000,"Betty Nansens Alle 21, 2. tv.",52107,0
1825455,55.70733,12.58461,3,0,C,7595000,3,114,0,5,1913,København Ø,2100,"Silkeborggade 30, 5 th",66622,0
1825279,55.72574,12.57622,3,0,C,8995000,4,151,1791,2,1931,Hellerup,2900,"Strandvejen 123A, 2. tv.",59569,0
1825435,55.64451,12.62328,1,0,C,9995000,5,143,538,,1999,København S,2300,Olymposvej 12,69895,0
1825178,55.67213,12.55403,3,0,c,10300000,4,101,0,,1880,København V,1658,"Absalonsgade 3, st. tv",101980,59
1824750,55.6345,12.60917,3,0,G,1350000,1,31,0,,1970,Kastrup,2770,Finnegården 26,43548,0
1824821,55.64939,12.62149,3,0,C,2095000,2,51,0,1,1937,København S,2300,"Kastrupvej 127, 1. 2.",41078,0
1824845,55.64973,12.52478,3,0,C,2250000,2,46,5554,2,1939,København SV,2450,"Haydnsvej 13, 2. tv.",48913,0
1824792,55.65369,12.61322,3,0,C,2395000,2,58,0,3,1932,København S,2300,"Elbagade 19, 3. tv",41293,0
1824835,55.68132,12.48933,3,0,D,2395000,2,53,0,1,1939,Vanløse,2720,"Kærholmen 19, 1. th.",45188,0
1824831,55.66432,12.60478,3,0,D,2495000,2,50,0,3,1901,København S,2300,"Ålandsgade 5, 3. tv.",49900,0
